Question,Answer
"What are the number of annual reported cases since decreased from 32, 803 to 3128 in 2019, representing a drop.?","The number of annual reported cases has since decreased from 32, 803 to 3128 in 2019, representing a 90% drop."
"How many As of todayƒ??s reports, the global number of confirmed cases of COVID-19 has surpassed?","As of todayƒ??s reports, the global number of confirmed cases of COVID-19 has surpassed 100 000. "
"In the overall study population through Day 28, how many deaths were reported in patients who received PAXLOVIDƒ?› as compared to 10 (1.6%) deaths in patients who received placebo.?""","In the overall study population through Day 28, no deaths were reported in patients who received PAXLOVID™ as compared to 10 deaths in patients who received placebo"
"Many countries are experiencing a resurgence of COVID-19, driven predominantly by which variant of SARS-CoV-2?","Many countries are experiencing a resurgence of COVID-19, driven predominantly by the delta (B.1.617.2) variant of SARS-CoV-2."
WHich mandates RT-PCR for passengers arriving form 'at risk' nations?,"After Maharashtra and Bengaluru, Gujarat mandates RT-PCR for passengers arriving form 'at risk' nations"
Who has asked officials to consider the plan to resume international flight?s,PM asks officials to consider the plan to resume international flights
The Indian regulatory authorities have given approval to which vaccine for ages 12-17 years?,"The Indian regulatory authorities have given approval to ZycovD, a novel DNA vaccine, for ages 12-17 years; however, this vaccine has not yet received WHO EUL."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"In the overall study population through Day 28, no deaths were reported in patients who received PAXLOVIDƒ?› as compared to 10 (1.6%) deaths in patients who received placebo.",
,
,
,
,
,
,
,
,
,
,
,
,
"Many countries are experiencing a resurgence of COVID-19, driven predominantly by the delta (B.1.617.2) variant of SARS-CoV-2.",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"After Maharashtra and Bengaluru, Gujarat mandates RT-PCR for passengers arriving form 'at risk' nations",
PM asks officials to consider the plan to resume international flights,
,
,
,
,
,
,
,
,
,
,
"The Indian regulatory authorities have given approval to ZycovD, a novel DNA vaccine, for ages 12-17 years; however, this vaccine has not yet received WHO EUL.",
